NAME,Total #,y1960s,y1970s,y1970s_change,y1980s,y1980s_change,y1990s,y1990s_change,y2000s,y2000s_change,y2010s,y2010s_change
Adams,3,0,0,0,2,0,0.5,0,0.5,0,1,50
Ashland,42,0,10,100,12,40,6,40,10,40,4,-150
Barron,10,0,2,100,1,33.34,2,33.34,3,33.34,2,-50
Bayfield,24,0,8,100,6,0,3,0,3,0,4,25
Brown,55,0,10,100,6,18.19,9,18.19,11,18.19,19,42.11
Buffalo,13,0,4,100,8,0,1,0,1,0,0.5,-100
Burnett,9,0,1,100,5,-100,2,-100,1,-100,0.5,-100
Calumet,10,0,1,100,4,-300,4,-300,1,-300,0.5,-100
Chippewa,12,0,1,100,6,-400,5,-400,1,-400,0.5,-100
Clark,22,0,1,100,1,80,2,80,10,80,8,-25
Columbia,59,0,12,100,6,21.06,15,21.06,19,21.06,7,-171.43
Crawford,28,5,6,16.67,4,57.15,3,57.15,7,57.15,3,-133.34
Dane,250,2,40,95,87,-25,55,-25,44,-25,22,-100
Dodge,34,0,8,100,9,-125,9,-125,4,-125,4,0
Door,74,0,8,100,22,45,11,45,20,45,13,-53.85
Douglas,19,0,4,100,12,50,1,50,2,50,1,-100
Dunn,8,0,2,100,1,50,1,50,2,50,2,0
Eau Claire,64,0,5,100,32,85.72,3,85.72,21,85.72,3,-600
Florence,6,0,0,0,3,-100,1,-100,0.5,-100,3,83.34
Fond du Lac,50,0,11,100,8,35.72,9,35.72,14,35.72,8,-75
Forest,10,0,0,0,1,-50,3,-50,2,-50,4,50
Grant,34,0,8,100,11,12.5,7,12.5,8,12.5,0.5,-1500
Green,27,0,11,100,4,50,3,50,6,50,3,-100
Green Lake,15,0,1,100,1,-100,8,-100,4,-100,1,-300
Iowa,38,0,10,100,9,-700,16,-700,2,-700,1,-100
Iron,5,0,2,100,1,-300,2,-300,0.5,-300,0.5,0
Jackson,5,0,3,100,1,75,0.5,75,2,75,0.5,-300
Jefferson,60,1,15,93.34,17,75,3,75,12,75,12,0
Juneau,8,0,3,100,2,-100,2,-100,1,-100,0.5,-100
Kenosha,27,0,7,100,7,77.78,2,77.78,9,77.78,2,-350
Kewaunee,12,0,1,100,1,-25,5,-25,4,-25,1,-300
La Crosse,60,0,9,100,25,-140,12,-140,5,-140,9,44.45
Lafayette,11,0,3,100,2,-300,4,-300,1,-300,1,0
Langlade,5,0,2,100,1,0,1,0,1,0,0.5,-100
Lincoln,6,0,3,100,1,-100,2,-100,1,-100,0.5,-100
Manitowoc,36,0,1,100,9,42.86,4,42.86,7,42.86,15,53.34
Marathon,30,0,3,100,16,0,3,0,3,0,5,40
Marinette,12,0,2,100,1,-66.67,5,-66.67,3,-66.67,1,-200
Marquette,4,0,0,0,2,0,1,0,1,0,0.5,-100
Menominee,1,0,0,0,0.5,50,0.5,50,1,50,0.5,-100
Milwaukee,268,0,43,100,115,-27.59,37,-27.59,29,-27.59,44,34.1
Monroe,13,0,1,100,5,33.34,2,33.34,3,33.34,2,-50
Oconto,26,1,7,85.72,5,57.15,3,57.15,7,57.15,3,-133.34
Oneida,25,0,1,100,2,53.85,6,53.85,13,53.85,3,-333.34
Outagamie,50,0,5,100,23,-140,12,-140,5,-140,5,0
Ozaukee,41,0,9,100,8,54.55,5,54.55,11,54.55,8,-37.5
Pepin,2,0,0,0,2,-100,1,-100,0.5,-100,0.5,0
Pierce,10,0,2,100,3,0,2,0,2,0,1,-100
Polk,14,0,1,100,6,83.34,1,83.34,6,83.34,1,-500
Portage,20,0,4,100,4,-100,6,-100,3,-100,3,0
Price,13,0,3,100,3,50,2,50,4,50,1,-300
Racine,56,0,18,100,21,20,4,20,5,20,8,37.5
Richland,16,0,1,100,3,0,6,0,6,0,0.5,-1100
Rock,141,0,39,100,59,-77.78,16,-77.78,9,-77.78,18,50
Rusk,3,0,1,100,1,0,0.5,0,0.5,0,1,50
Sauk,59,1,7,85.72,21,-120,11,-120,5,-120,14,64.29
Sawyer,4,0,1,100,2,-100,1,-100,0.5,-100,1,50
Shawano,6,0,0,0,1,0,2,0,2,0,1,-100
Sheboygan,57,0,6,100,20,-14.29,8,-14.29,7,-14.29,16,56.25
St. Croix,31,0,3,100,25,66.67,1,66.67,3,66.67,0.5,-500
Taylor,8,0,1,100,4,-100,2,-100,1,-100,0.5,-100
Trempealeau,16,0,2,100,9,-50,3,-50,2,-50,0.5,-300
Vernon,24,0,5,100,6,-50,6,-50,4,-50,3,-33.34
Vilas,18,0,1,100,0.5,-80,9,-80,5,-80,3,-66.67
Walworth,47,0,10,100,13,-50,9,-50,6,-50,9,33.34
Washburn,2,0,0,0,2,-100,1,-100,0.5,-100,0.5,0
Washington,28,0,3,100,12,0,5,0,5,0,3,-66.67
Waukesha,155,0,18,100,99,-575,27,-575,4,-575,7,42.86
Waupaca,25,0,2,100,11,77.78,2,77.78,9,77.78,1,-800
Waushara,3,0,0,0,2,-100,1,-100,0.5,-100,0.5,0
Winnebago,90,0,17,100,33,-257.15,25,-257.15,7,-257.15,8,12.5
Wood,22,0,2,100,1,61.54,5,61.54,13,61.54,2,-550
