NAME,Total #,y1960s,y1970s,years 1970-1980,y1980s,years 1980-1990,y1990s,years 1990-2000,y2000s,years 2000-2010,y2010s,years 2010-2020
Adams,3,0,0,0,2,100,0.5,-300,0.5,0,1,50
Ashland,42,0,10,100,12,16.67,6,-100,10,40,4,-150
Barron,10,0,2,100,1,-100,2,50,3,33.34,2,-50
Bayfield,24,0,8,100,6,-33.34,3,-100,3,0,4,25
Brown,55,0,10,100,6,-66.67,9,33.34,11,18.19,19,42.11
Buffalo,13,0,4,100,8,50,1,-700,1,0,0.5,-100
Burnett,9,0,1,100,5,80,2,-150,1,-100,0.5,-100
Calumet,10,0,1,100,4,75,4,0,1,-300,0.5,-100
Chippewa,12,0,1,100,6,83.34,5,-20,1,-400,0.5,-100
Clark,22,0,1,100,1,0,2,50,10,80,8,-25
Columbia,59,0,12,100,6,-100,15,60,19,21.06,7,-171.43
Crawford,28,5,6,16.67,4,-50,3,-33.34,7,57.15,3,-133.34
Dane,250,2,40,95,87,54.03,55,-58.19,44,-25,22,-100
Dodge,34,0,8,100,9,11.12,9,0,4,-125,4,0
Door,74,0,8,100,22,63.64,11,-100,20,45,13,-53.85
Douglas,19,0,4,100,12,66.67,1,-1100,2,50,1,-100
Dunn,8,0,2,100,1,-100,1,0,2,50,2,0
Eau_Claire,64,0,5,100,32,84.38,3,-966.67,21,85.72,3,-600
Florence,6,0,0,0,3,100,1,-200,0.5,-100,3,83.34
Fond_du_Lac,50,0,11,100,8,-37.5,9,11.12,14,35.72,8,-75
Forest,10,0,0,0,1,100,3,66.67,2,-50,4,50
Grant,34,0,8,100,11,27.28,7,-57.15,8,12.5,0.5,-1500
Green,27,0,11,100,4,-175,3,-33.34,6,50,3,-100
Green_Lake,15,0,1,100,1,0,8,87.5,4,-100,1,-300
Iowa,38,0,10,100,9,-11.12,16,43.75,2,-700,1,-100
Iron,5,0,2,100,1,-100,2,50,0.5,-300,0.5,0
Jackson,5,0,3,100,1,-200,0.5,-100,2,75,0.5,-300
Jefferson,60,1,15,93.34,17,11.77,3,-466.67,12,75,12,0
Juneau,8,0,3,100,2,-50,2,0,1,-100,0.5,-100
Kenosha,27,0,7,100,7,0,2,-250,9,77.78,2,-350
Kewaunee,12,0,1,100,1,0,5,80,4,-25,1,-300
La_Crosse,60,0,9,100,25,64,12,-108.34,5,-140,9,44.45
Lafayette,11,0,3,100,2,-50,4,50,1,-300,1,0
Langlade,5,0,2,100,1,-100,1,0,1,0,0.5,-100
Lincoln,6,0,3,100,1,-200,2,50,1,-100,0.5,-100
Manitowoc,36,0,1,100,9,88.89,4,-125,7,42.86,15,53.34
Marathon,30,0,3,100,16,81.25,3,-433.34,3,0,5,40
Marinette,12,0,2,100,1,-100,5,80,3,-66.67,1,-200
Marquette,4,0,0,0,2,100,1,-100,1,0,0.5,-100
Menominee,1,0,0,0,0.5,0,0.5,0,1,50,0.5,-100
Milwaukee,268,0,43,100,115,62.61,37,-210.82,29,-27.59,44,34.1
Monroe,13,0,1,100,5,80,2,-150,3,33.34,2,-50
Oconto,26,1,7,85.72,5,-40,3,-66.67,7,57.15,3,-133.34
Oneida,25,0,1,100,2,50,6,66.67,13,53.85,3,-333.34
Outagamie,50,0,5,100,23,78.27,12,-91.67,5,-140,5,0
Ozaukee,41,0,9,100,8,-12.5,5,-60,11,54.55,8,-37.5
Pepin,2,0,0,0,2,100,1,-100,0.5,-100,0.5,0
Pierce,10,0,2,100,3,33.34,2,-50,2,0,1,-100
Polk,14,0,1,100,6,83.34,1,-500,6,83.34,1,-500
Portage,20,0,4,100,4,0,6,33.34,3,-100,3,0
Price,13,0,3,100,3,0,2,-50,4,50,1,-300
Racine,56,0,18,100,21,14.29,4,-425,5,20,8,37.5
Richland,16,0,1,100,3,66.67,6,50,6,0,0.5,-1100
Rock,141,0,39,100,59,33.9,16,-268.75,9,-77.78,18,50
Rusk,3,0,1,100,1,0,0.5,-100,0.5,0,1,50
Sauk,59,1,7,85.72,21,66.67,11,-90.91,5,-120,14,64.29
Sawyer,4,0,1,100,2,50,1,-100,0.5,-100,1,50
Shawano,6,0,0,0,1,100,2,50,2,0,1,-100
Sheboygan,57,0,6,100,20,70,8,-150,7,-14.29,16,56.25
St_Croix,31,0,3,100,25,88,1,-2400,3,66.67,0.5,-500
Taylor,8,0,1,100,4,75,2,-100,1,-100,0.5,-100
Trempealeau,16,0,2,100,9,77.78,3,-200,2,-50,0.5,-300
Vernon,24,0,5,100,6,16.67,6,0,4,-50,3,-33.34
Vilas,18,0,1,100,0.5,-100,9,94.45,5,-80,3,-66.67
Walworth,47,0,10,100,13,23.08,9,-44.45,6,-50,9,33.34
Washburn,2,0,0,0,2,100,1,-100,0.5,-100,0.5,0
Washington,28,0,3,100,12,75,5,-140,5,0,3,-66.67
Waukesha,155,0,18,100,99,81.82,27,-266.67,4,-575,7,42.86
Waupaca,25,0,2,100,11,81.82,2,-450,9,77.78,1,-800
Waushara,3,0,0,0,2,100,1,-100,0.5,-100,0.5,0
Winnebago,90,0,17,100,33,48.49,25,-32,7,-257.15,8,12.5
Wood,22,0,2,100,1,-100,5,80,13,61.54,2,-550
