Ref#,Property Name,State,Location,Lat,Long,City ,Street & Number,Restricted Address,Level of Significance - Local,Level of Significance - State,Level of Significance - National,Level of Significance - International,Level of Significance - Not Indicated,Name of Multiple Property Listing,Other Names,orig Ref#,Request Type,External Link,County,Total #,1960s,1970s,1970s_change,1980s,1980s_change,1990s,1990s_change,2000s,2000s_change,2010s,2010s_change
81000031,Roche-a-Cri Petroglyphs,WISCONSIN,"Adams County, WI, USA",43.969455,-89.774758,Friendship,Address Restricted,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,," Friendship Glyphs; 47-AD-50, 47-Ad-94",81000031,Single,,Adams,3,0,0,0,2,0,0.5,0,0.5,0,1,50
74000054,Old Ashland Post Office,WISCONSIN,"Ashland County, WI, USA",47.051207,-90.444297,Ashland,601 West Second St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,74000054,Single,https://catalog.archives.gov/id/106779933,Ashland,42,0,10,100,12,40,6,40,10,40,4,-150
78000077,Barron County Pipestone Quarry,WISCONSIN,"Barron County, WI, USA",45.42367,-91.84835,Rice Lake,Address Restricted,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,, Pipestone Quarry,78000077,Single,,Barron,10,0,2,100,1,33.34,2,33.34,3,33.34,2,-50
74000056,"Boutin, Frank, Jr., House",WISCONSIN,"Bayfield County, WI, USA",46.670227,-91.229545,Bayfield,7 Rice St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,74000056,Single,https://catalog.archives.gov/id/106779978,Bayfield,24,0,8,100,6,0,3,0,3,0,4,25
70000026,Cotton House,WISCONSIN,"Brown County, WI, USA",44.478809,-87.99618,Green Bay,2640 South Webster Ave.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,70000026,Single,https://catalog.archives.gov/id/106780019,Brown,55,0,10,100,6,18.19,9,18.19,11,18.19,19,42.11
79000061,Fugina House,WISCONSIN,"Buffalo County, WI, USA",44.39653,-91.731985,Fountain City,348 S. Main St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,79000061,Single,https://catalog.archives.gov/id/106780079,Buffalo,13,0,4,100,8,0,1,0,1,0,0.5,-100
74000059,Northwest and XY Company Trading Post Sites,WISCONSIN,"Burnett County, WI, USA",45.869842,-92.367575,Webster,Address Restricted,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,74000059,Single,,Burnett,9,0,1,100,5,-100,2,-100,1,-100,0.5,-100
78000079,Ridge Group,WISCONSIN,"Calumet County, WI, USA",44.090003,-88.218052,Chilton,Address Restricted,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,, Gasch Mound Group (47 Ct 7),78000079,Single,,Calumet,10,0,1,100,4,-300,4,-300,1,-300,0.5,-100
74000060,Cook-Rutledge House,WISCONSIN,"Chippewa County, WI, USA",45.074438,-91.27986,Chippewa Falls,505 W. Grand Ave.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,," Rand,E. D., House",74000060,Single,https://catalog.archives.gov/id/106780116,Chippewa,12,0,1,100,6,-400,5,-400,1,-400,0.5,-100
78000080,Clark County Jail,WISCONSIN,"Clark County, WI, USA",44.738868,-90.616128,Neillsville,215 E. 5th St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,78000080,Single,https://catalog.archives.gov/id/106780134,Clark,22,0,1,100,1,80,2,80,10,80,8,-25
70000029,Fort Winnebago Surgeon's Quarters,WISCONSIN,"Columbia County, WI, USA",43.461867,-89.3263,Portage,0.1 mi. & of corporate city limits on WI 33,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,70000029,Single,https://catalog.archives.gov/id/106780195,Columbia,59,0,12,100,6,21.06,15,21.06,19,21.06,7,-171.43
66000800,Astor Fur Warehouse,WISCONSIN,"Crawford County, WI, USA",43.246569,-90.898374,Prairie du Chien,"Water St., St. Feriole Island",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,, American Fur Company Warehouse,66000800,Single,https://catalog.archives.gov/id/106779834,Crawford,28,5,6,16.67,4,57.15,3,57.15,7,57.15,3,-133.34
66000020,"LaFollette, Robert M., House",WISCONSIN,"Dane County, WI, USA",43.075193,-89.423867,Maple Bluff,733 Lakewood Blvd.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,66000020,Single,https://catalog.archives.gov/id/106779852,Dane,250,2,40,95,87,-25,55,-25,44,-25,22,-100
74000079,Williams Free Library,WISCONSIN,"Dodge County, WI, USA",43.41528,-88.707514,Beaver Dam,105 Park Ave.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,74000079,Single,https://catalog.archives.gov/id/106780749,Dodge,34,0,8,100,9,-125,9,-125,4,-125,4,0
70000032,Eagle Bluff Lighthouse,WISCONSIN,"Door County, WI, USA",45.016525,-87.014718,Fish Creek,"3.5 mi. N of Fish Creek on Shore Rd.,in Peninsula State Park",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,, Eagle Lighthouse,70000032,Single,https://catalog.archives.gov/id/106780773,Door,74,0,8,100,22,45,11,45,20,45,13,-53.85
70000033,Brule-St. Croix Portage,WISCONSIN,"Douglas County, WI, USA",46.457214,-91.892304,Solon Springs,Brule River State Park,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,70000033,Single,https://catalog.archives.gov/id/106780826,Douglas,19,0,4,100,12,50,1,50,2,50,1,-100
74000082,"Tainter, Louis Smith, House",WISCONSIN,"Dunn County, WI, USA",44.946199,-91.893004,Menomonie,Broadway at Crescent,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,74000082,Single,https://catalog.archives.gov/id/106780849,Dunn,8,0,2,100,1,50,1,50,2,50,2,0
74000085,"Community House, First Congregational Church",WISCONSIN,"Eau Claire County, WI, USA",44.726937,-91.285971,Eau Claire,310 Broadway,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,," Community House,First Congregational United Church of Christ",74000085,Single,https://catalog.archives.gov/id/106780864,Eau Claire,64,0,5,100,32,85.72,3,85.72,21,85.72,3,-600
