Property Name,State,Location,Lat,Long,City ,Street & Number,Other Names,County,Total #,1960s,1970s,1970s_change,1980s,1980s_change,1990s,1990s_change,2000s,2000s_change,2010s,2010s_change
Roche-a-Cri Petroglyphs,WISCONSIN,"Adams County, WI, USA",43.969455,-89.774758,Friendship,Address Restricted," Friendship Glyphs; 47-AD-50, 47-Ad-94",Adams,3,0,0,0,2,0,0.5,0,0.5,0,1,50
Old Ashland Post Office,WISCONSIN,"Ashland County, WI, USA",47.051207,-90.444297,Ashland,601 West Second St.,,Ashland,42,0,10,100,12,40,6,40,10,40,4,-150
Barron County Pipestone Quarry,WISCONSIN,"Barron County, WI, USA",45.42367,-91.84835,Rice Lake,Address Restricted, Pipestone Quarry,Barron,10,0,2,100,1,33.34,2,33.34,3,33.34,2,-50
"Boutin, Frank, Jr., House",WISCONSIN,"Bayfield County, WI, USA",46.670227,-91.229545,Bayfield,7 Rice St.,,Bayfield,24,0,8,100,6,0,3,0,3,0,4,25
Cotton House,WISCONSIN,"Brown County, WI, USA",44.478809,-87.99618,Green Bay,2640 South Webster Ave.,,Brown,55,0,10,100,6,18.19,9,18.19,11,18.19,19,42.11
Fugina House,WISCONSIN,"Buffalo County, WI, USA",44.39653,-91.731985,Fountain City,348 S. Main St.,,Buffalo,13,0,4,100,8,0,1,0,1,0,0.5,-100
Northwest and XY Company Trading Post Sites,WISCONSIN,"Burnett County, WI, USA",45.869842,-92.367575,Webster,Address Restricted,,Burnett,9,0,1,100,5,-100,2,-100,1,-100,0.5,-100
Ridge Group,WISCONSIN,"Calumet County, WI, USA",44.090003,-88.218052,Chilton,Address Restricted, Gasch Mound Group (47 Ct 7),Calumet,10,0,1,100,4,-300,4,-300,1,-300,0.5,-100
Cook-Rutledge House,WISCONSIN,"Chippewa County, WI, USA",45.074438,-91.27986,Chippewa Falls,505 W. Grand Ave.," Rand,E. D., House",Chippewa,12,0,1,100,6,-400,5,-400,1,-400,0.5,-100
Clark County Jail,WISCONSIN,"Clark County, WI, USA",44.738868,-90.616128,Neillsville,215 E. 5th St.,,Clark,22,0,1,100,1,80,2,80,10,80,8,-25
Fort Winnebago Surgeon's Quarters,WISCONSIN,"Columbia County, WI, USA",43.461867,-89.3263,Portage,0.1 mi. & of corporate city limits on WI 33,,Columbia,59,0,12,100,6,21.06,15,21.06,19,21.06,7,-171.43
Astor Fur Warehouse,WISCONSIN,"Crawford County, WI, USA",43.246569,-90.898374,Prairie du Chien,"Water St., St. Feriole Island", American Fur Company Warehouse,Crawford,28,5,6,16.67,4,57.15,3,57.15,7,57.15,3,-133.34
"LaFollette, Robert M., House",WISCONSIN,"Dane County, WI, USA",43.075193,-89.423867,Maple Bluff,733 Lakewood Blvd.,,Dane,250,2,40,95,87,-25,55,-25,44,-25,22,-100
Williams Free Library,WISCONSIN,"Dodge County, WI, USA",43.41528,-88.707514,Beaver Dam,105 Park Ave.,,Dodge,34,0,8,100,9,-125,9,-125,4,-125,4,0
